,countries,cigarette_consumption
0,Andorra,6398.3
1,Luxembourg,6330.9
2,Belarus,2911.3
3,North Macedonia,2784.9
4,Albania,2491.6
5,Belgium,2440.9
6,Czech Republic,2427.9
7,Jordan,2306.1
8,Russia,2295.0
9,Syria,2291.7
10,Slovenia,2236.5
11,Greece,2078.6
12,Hungary,2060.3
13,China,2043.0
14,Lebanon,2037.5
15,Armenia,1985.7
16,Mongolia,1982.5
17,Cyprus,1961.4
18,Austria,1927.0
19,Georgia,1917.7
20,Serbia,1898.6
21,Ukraine,1849.4
22,Kazakhstan,1800.9
23,Turkey,1770.7
24,Bosnia and Herzegovina,1767.2
25,Estonia,1759.9
26,Bulgaria,1757.3
27,Moldova,1747.2
28,Papua New Guinea,1689.3
29,Indonesia,1675.5
30,South Korea,1667.4
31,Germany,1599.5
32,Japan,1583.2
33,Tunisia,1580.0
34,Croatia,1578.9
35,Malta,1527.9
36,Azerbaijan,1525.6
37,Slovakia,1500.9
38,Spain,1499.0
39,Italy,1493.3
40,Switzerland,1489.8
41,Samoa,1470.6
42,Netherlands,1459.9
43,Egypt,1449.4
44,Solomon Islands,1419.1
45,Kuwait,1412.7
46,Kiribati,1396.0
47,Poland,1363.1
48,Saudi Arabia,1341.0
49,Denmark,1298.0
50,Lithuania,1292.0
51,Israel,1280.7
52,Romania,1204.3
53,Latvia,1189.1
54,Iraq,1184.4
55,Argentina,1176.1
56,Portugal,1133.4
57,Philippines,1132.2
58,Bahrain,1101.5
59,Montenegro,1100.8
60,Finland,1098.8
61,France,1089.9
62,Vanuatu,1069.2
63,Vietnam,1049.6
64,Algeria,1046.7
65,Canada,1021.3
66,Qatar,1020.3
67,United States,1016.6
68,North Korea,993.3
69,Tonga,986.9
70,Ireland,976.5
71,Turkmenistan,962.1
72,Iran,936.5
73,Australia,917.0
74,Uruguay,899.4
75,Singapore,851.2
76,Iceland,848.1
77,Thailand,837.4
78,United Kingdom,827.7
79,Laos,814.6
80,Djibouti,785.5
81,Chile,769.3
82,UAE,748.5
83,Bangladesh,744.1
84,Cambodia,726.2
85,Sweden,716.2
86,New Zealand,685.1
87,Trinidad and Tobago,682.5
88,Morocco,682.3
89,Comoros,585.4
90,Maldives,560.9
91,St. Lucia,553.9
92,Norway,552.8
93,Seychelles,543.6
94,Mauritius,542.5
95,Kyrgyzstan,519.6
96,Suriname,511.7
97,Nepal,511.6
98,South Africa,509.6
99,Mozambique,501.9
100,Uzbekistan,495.9
101,Fiji,491.1
102,Honduras,469.8
103,Sierra Leone,468.6
104,Gabon,451.2
105,Lesotho,448.0
106,Malaysia,441.2
107,Bahamas,438.6
108,Botswana,433.5
109,Yemen,423.8
110,Costa Rica,411.4
111,Burkina Faso,408.1
112,Madagascar,404.2
113,Cape Verde,397.1
114,Venezuela,396.2
115,Paraguay,384.5
116,South Sudan,383.7
117,Pakistan,363.2
118,Tajikistan,361.1
119,Senegal,359.4
120,Guyana,359.1
121,Ivory Coast,352.7
122,Colombia,351.4
123,Angola,340.2
124,Sudan,339.9
125,Brazil,333.5
126,Equatorial Guinea,328.2
127,Nicaragua,327.8
128,Libya,327.2
129,Mexico,327.1
130,Mali,316.9
131,Guinea,316.0
132,Jamaica,312.5
133,Afghanistan,311.6
134,Namibia,298.4
135,Bolivia,291.6
136,Chad,279.3
137,Barbados,277.5
138,Oman,271.1
139,Kenya,264.4
140,St. Vincent and the Grenadines,259.6
141,Sri Lanka,254.6
142,Gambia,249.1
143,Malawi,241.1
144,Burundi,239.4
145,Cuba,233.5
146,Myanmar,226.5
147,Panama,219.3
148,Dominican Republic,218.9
149,Central African Republic,213.2
150,El Salvador,206.7
151,Benin,204.0
152,Somalia,198.5
153,Uganda,195.7
154,Congo,195.2
155,Tanzania,181.8
156,Cameroon,171.0
157,Belize,168.6
158,Nigeria,162.5
159,Grenada,158.2
160,Liberia,154.4
161,Dominica,147.4
162,Togo,147.3
163,Zambia,145.4
164,Haiti,143.0
165,Eritrea,132.3
166,Democratic Republic of Congo,128.0
167,Zimbabwe,122.9
168,Niger,118.8
169,Ethiopia,115.3
170,Guatemala,111.8
171,Peru,97.7
172,Rwanda,94.0
173,Ecuador,93.5
174,Swaziland,91.7
175,India,89.3
176,Antigua and Barbuda,89.2
177,Ghana,40.5
178,Mauritania,30.3
179,Guinea-Bissau,25.3
180,Brunei,9.7
